#Parameters = {Conductivity=2000; L=38; Thickness=0.01; W=3; depth=15}
#"Frequency / GHz"	"S1,1 (4) [Magnitude / dB]"
#---------------------------------------------
0.60302001237869	-7.3128016536173
0.60500997304916	-7.3527095604659
0.60699999332428	-7.3931399810686
0.60899001359940	-7.4340769091009
0.61097997426987	-7.4755053878184
0.61296999454498	-7.5174061468411
0.61496001482010	-7.5597650642173
0.61694997549057	-7.6025633120258
0.61893999576569	-7.6457832806754
0.62093001604080	-7.6894106552779
0.62291997671127	-7.7334282146224
0.62490999698639	-7.7778188097505
0.62690001726151	-7.8225660096832
0.62888997793198	-7.8676546293006
0.63087999820709	-7.9130715012561
0.63287001848221	-7.9587974144591
0.63485997915268	-8.0048223429621
0.63684999942780	-8.0511302221294
0.63884001970291	-8.0977095395250
0.64082998037338	-8.1445477357458
0.64282000064850	-8.1916301954440
0.64481002092361	-8.2389513110290
0.64679998159409	-8.2864948239781
0.64879000186920	-8.3342558412361
0.65078002214432	-8.3822239034400
0.65276998281479	-8.4303934288443
0.65476000308990	-8.4787529096274
0.65675002336502	-8.5273004354134
0.65873998403549	-8.5760297404934
0.66073000431061	-8.6249342768203
0.66272002458572	-8.6740109502340
0.66470998525620	-8.7232594262887
0.66670000553131	-8.7726747379235
0.66869002580643	-8.8222570841969
0.67067998647690	-8.8720034053173
0.67267000675201	-8.9219157434710
0.67466002702713	-8.9719918732462
0.67664998769760	-9.0222358169078
0.67864000797272	-9.0726445145034
0.68063002824783	-9.1232236177543
0.68261998891830	-9.1739736886779
0.68461000919342	-9.2248959922737
0.68660002946854	-9.2759929701578
0.68858999013901	-9.3272679316747
0.69058001041412	-9.3787198505659
0.69256997108459	-9.4303553273881
0.69455999135971	-9.4821732397499
0.69655001163483	-9.5341766582159
0.69853997230530	-9.5863644587201
0.70052999258041	-9.6387400535558
0.70252001285553	-9.6913037763794
0.70450997352600	-9.7440531515202
0.70649999380112	-9.7969864980541
0.70849001407623	-9.8501058103627
0.71047997474670	-9.9034037534284
0.71246999502182	-9.9568769468689
0.71446001529694	-10.010521431706
0.71644997596741	-10.064329399677
0.71843999624252	-10.118297267509
0.72043001651764	-10.172410835333
0.72241997718811	-10.226662873268
0.72440999746323	-10.281041093245
0.72640001773834	-10.335532933018
0.72838997840881	-10.390122588467
0.73037999868393	-10.444794363188
0.73237001895905	-10.499528661805
0.73435997962952	-10.554307573953
0.73634999990463	-10.609111333519
0.73834002017975	-10.663912510852
0.74032998085022	-10.718690898515
0.74232000112534	-10.773417504824
0.74431002140045	-10.828063365679
0.74629998207092	-10.882601961979
0.74829000234604	-10.937000505117
0.75028002262115	-10.991223595081
0.75226998329163	-11.045241907202
0.75426000356674	-11.099014497107
0.75625002384186	-11.152506114252
0.75823998451233	-11.205678329723
0.76023000478745	-11.258490515402
0.76222002506256	-11.310902066571
0.76420998573303	-11.362868200668
0.76620000600815	-11.414349718570
0.76819002628326	-11.465300210989
0.77017998695374	-11.515676119199
0.77217000722885	-11.565429858175
0.77416002750397	-11.614519119626
0.77614998817444	-11.662895133349
0.77814000844955	-11.710512919866
0.78013002872467	-11.757325784915
0.78211998939514	-11.803288555579
0.78411000967026	-11.848354003303
0.78609997034073	-11.892479262436
0.78808999061584	-11.935617838264
0.79008001089096	-11.977727938686
0.79206997156143	-12.018765513759
0.79405999183655	-12.058688816673
0.79605001211166	-12.097458036423
0.79803997278214	-12.135032912362
0.80002999305725	-12.171376719238
0.80202001333237	-12.206452981109
0.80400997400284	-12.240227328796
0.80599999427795	-12.272669029378
0.80799001455307	-12.303744001666
0.80997997522354	-12.333425781886
0.81196999549866	-12.361687810709
0.81396001577377	-12.388503620267
0.81594997644424	-12.413851027482
0.81793999671936	-12.437710094485
0.81993001699448	-12.460062664363
0.82191997766495	-12.480890477397
0.82390999794006	-12.500179577692
0.82590001821518	-12.517917993917
0.82788997888565	-12.534095340592
0.82987999916077	-12.548701441817
0.83187001943588	-12.561732135337
0.83385998010635	-12.573177851257
0.83585000038147	-12.583040278066
0.83784002065659	-12.591312769189
0.83982998132706	-12.597997720696
0.84182000160217	-12.603097597247
0.84381002187729	-12.606612571986
0.84579998254776	-12.608545162962
0.84779000282288	-12.608902436609
0.84978002309799	-12.607690365457
0.85176998376846	-12.604914272211
0.85376000404358	-12.600583546057
0.85575002431870	-12.594705894850
0.85773998498917	-12.587292837848
0.85973000526428	-12.578353682205
0.86172002553940	-12.567897986742
0.86370998620987	-12.555940586059
0.86570000648499	-12.542492181030
0.86769002676010	-12.527566308420
0.86967998743057	-12.511176721352
0.87167000770569	-12.493337223158
0.87366002798080	-12.474064831638
0.87564998865128	-12.453373326479
0.87764000892639	-12.431279516777
0.87963002920151	-12.407802267552
0.88161998987198	-12.382958096003
0.88361001014709	-12.356765301721
0.88559997081757	-12.329244305446
0.88758999109268	-12.300415025714
0.88958001136780	-12.270298083696
0.89156997203827	-12.238916391661
0.89355999231339	-12.206291977335
0.89555001258850	-12.172449256979
0.89753997325897	-12.137414066661
0.89952999353409	-12.101210075943
